sentiment,review
1,Best camera and better backup is very bestIn this priceFull passa wasole phone
1,Wonderful best phone
0,"Bad performance.. signal goes off frequently, mobile restarts whenever it feels like, phone bcoms hot while charging.. plzz dont buy it."
1,Best all round performance ever!!
0,"By purchasing this we have loosed by, Rs.3000 within Span of 30 days. No trust worthy deals from Amazon."
0,Not Worth it's big disappointment from lenovo signal problems big headache problems with incoming calls and always show that you are not in range.
1,best phone in this rate camera quality is too good
1,It works very well.
1,Amazing product. Very good mobile at lower price. Good features.
1,Very good mobile at this price.. Good quality of camera and it is fast for using
0,After using only 3-4 mins continuously it get heated.Camera quality is also not good.
0,Worst phone I have ever purchased. Bigggggggest charging issue.
0,Poor
0,I purchased k8 at first sell but charging of phone is very slow its take around 10 hr to full charge .....
0,Ekdam bakwaaaasssDon't buy it network problem is permanent in Lenovo k8 and camera quality very lowBattery performance also very lowPls don't buy it
1,Good phone
1,Nice performance with 4gb RM and 64gb inbuilt memory
1,Superb featurs. Good battery Loved this phone😍😍
1,Value for money
1,Nice
1,this is very beautiful and good looking this Lenovo k8
0,Bluetooth problem while connecting bluetooth speaker. Audio breakups were happened. Heating problem while we see you on YouTube half an hour
0,Good phone but heating problem exists. But it is a better choice.
0,Battery standby problem
1,"Nice Mobile, long battery back up , Really killer camera and Jet speed to run any apps.👌👌"
1,Amazing product
1,Ok
0,Not as described screen cast can't work with TV miracast and fast charging is take upto 2.15 hours contacts VCF files only download with Google drive not by SD card total disappointed
0,"This is the device for average usage. Battery could not last for a day. The biggest con of this phone is its battery. Though it has 4000 mAh battery, but it drains very fast. Camera quality is good, not very good. Specially, depth enabled mode, focus is not perfect. The thing I like most about this device is display."
0,good
0,India ka werorst mobile . Battery fully charged offer 1 hour using 100 to 10 % . Network signals full but incoming calls is out of coverage area.lenovo is cheating people.
1,Nice Mobile.
1,"Mobile is good in this range but battery backup not up to the mark, weight also very high...."
1,good to have it at this price point
0,Improve in camera in new update slow mo added and no heating issue now but still need system updated. System updates are very slow
1,Superb
1,Excellent mobile phone
1,Very very good product and its really fast
0,"Fast delivery... But mobile not worth rs.10000..No gestures, no latest features... Heating issues... Better choose other brands.."
1,Best mobile.Great specifications .Camera is too cleare focus is too sharp and fast thanks Amazon and Lenovo for such mobile.Must buy guys
1,Verigood Verigood.best
0,Firstly product not delivered on time dissatisfied 2 weeks.Secondly Android 7.1.1 naugat doesn't have call recording optionThirdly when selling product cost was 13999/- now why drastically dropped. 10999/-Fourthly when talking over the phone feels like nerve pulling to much radiation need immediate fix on this matter as it's safety and security of customer.Fifthly if any issues in hardware issues please let us know the service centers location. And please ensure hardware availability should be there at any time when customers booked.Finally as discribed about product all features are ok no issues found as mentioned earlier if call recording option would have added the this product would have been met the expectations.Camera quality is good not bad snap attached.
1,Excellent Product
1,Nice & amazing
0,The device restarts automatically.....
0,Bought this product recently from amazon. Thoroughly dissatisfied with the phone. A thumbs down for this one.
1,Really killer
0,Hello all.. Before you purchase remember Battery performance of this device is very very poor. Check the picture I attached. There was no use from 8 hours(sleeping) and I make sure data was off still see Battery draining in idle mode. Really bad performanc and This super turbo charger they calling is waste. Its below thn average charger. Really disappointed.I have just raised return request.Pros : Rest all good.CameraDesignPerformance Etc
0,To wrest phone is hang problem
1,Happy with the product ☺️🙂
0,Very bad product.. lots of malfunction.. donot take this product
0,The look and sleekness of this phone is good. But the features in this phone is very less as this phone doesn't have the basic features like no sound controler option in shortcut shutter and most importantly there is no voice call recorder and the camera quality is also not good it is average in performance.
0,"Third class phone, this Time Lenovo disappointed me, i have k3 and k4 note so bought k8 note without any kind of thinking and disappointed. It stucks anytime without any load to ram, battery is also Third class defuces in very short time and turbo charge works sometimes but most of the time it works as normal charger.Gallery and many othet apps aren't available as it has stock Android, best thing is it often shows that process.android.com stopped workingWhat the .."
0,"Ok with the product, but the problem was it gets shut down while charging"
1,"I love Lenovo k8 note handset but i replace 3 times turbo charger in allahabad service centre within 6 month it becomes turbo charging to slow charging plz lenovo fix it, i request u"
1,Really good to buy
1,Great features..
0,Gift raping is very poorWords also very small (please refund money for that work)
0,"I personally don't recommend to buy this product if anyone want to connect TV over CAST screen option. Option is available but not compatible with any other device other than Chromecast for casting, though it was available for other model of Lenovo Phone."
1,Good
1,"If you are looking for a mid range phone U can go for this, features are pretty good but some small problems arises now and then, if ignored then worth the money"
1,As sim slot was not working I returned and got fast delivery too so giving 5 star bcz I m lenovo fan and I just love mobile the best mobile of this year. It get hot in less time but I guess we ca. Ignore it bcz the phone is v.good and with lots of good features and killer look too.
0,Worst for gaming and music.. I bought this for the deca core processor it has but it works worse than a quad core processed phone. And it said it has 2 speakers but one of them (left) doesn't have a speaker just holes to cheat buyers. Decent camera and display. Battery could be made better. And the ram keeps on working for 50 - 60% even while the phone is not in use.
1,Really awsome
0,There is heating and battery backup problem
1,Nice phone ....
0,"Product is good. Purchased on sep-17 and got cash back on 25Dec17. what a way to make fool, they called it cash back.lol"
1,Nice mobile
1,Mobile is good .But heating problem is one thing that..effecting it's popularity.
1,In this segment it's very good productCamera is also greatSound is greatOver all superb
0,Mobile in good working process more than expect but charger have big drawback it's not a turbo charger very late charging the mobile
0,"worst experience from lenovo. previously i bought k5 note and got mic problems. and now i m facing battery problem, camera problems. plz dont buy lenovo phones."
1,Great phone
0,Nice..
1,"Good,...,.........mo"
1,Like it
1,High Expectation hurts 😪... Dual Camera is not upto the Mark..... Apart From that no issues at all..... 4G+4G logic Needs to be made clear....
0,I bought the lenovo K 8 on the first sales day.But very much disappointed with the Dolby Atmos feature on the Lenovo K 8.It does not sound good at all. when switch on also it sound so weak and not punching at all when I compare it with a lenovo K6 .Can I get a sofwares updates to make it sound good?Or is it that I got a defective phone?Please let me know at the earliest?
0,It's battery is draining very fast.
1,Back camera images not so good.a yellow shadow occurred
0,Functions of the phone are not good. Performance is also wrost. Total waste of money. Please don't buy this phone. What ever they are showing in their add is false. Please go for Mi or any other brand which give very good mobile at this range.
1,Nice product
0,the worst phone I bought again from the lenovo. before I though with stock Android it will perform good but the same story battery drain in idle time. dual camera is a joke. and still no fix update as lenovo known for it. please do not buy it.
1,Very good
1,"Good mobile, heating problem but its normal"
0,Bad quality
0,Phn is gud n nice.but the battery is draining too fast.battery is not 4000mah too bad
1,Nice
0,some time display is not working prpperly
1,Major disadvantage of this model is battery is not detachable..Except that all features and working so nice
1,battery backup is very good
1,"I am using Lenovo K8 Note (4GB, 64GB) Model XT1902-3 Type M2CB2 since last ten days. I am not fully satisfied with this product because I found one problem. Amazon described in the product description that this handset has both SIM slots with 4G enabled. But it is found that slot 1 support 4G whereas slot 2 supports only 3G, not 4G."
0,It's just a okay phone.No such effects of dual cameras.
0,Not a dual 4g support
1,"One sim slot is 3g that is disadvantage, otherwise awesome"
0,"Features are really good but, some backlogs1. Though it has 4GB RAM sometimes mobiles struck and delay in responding.2. 4000Mah Battery runs out quickly like 3100 mah.3. Delay in camera operating response.4. Delay in contact searching. It's irritating when we search for a contact and getting more time to save a contact.5. Very worst mobile in this range.Friends pls don't buy it. Go for some better mobile..I swear u will regret after you use it."
0,Very bad camera.
1,Front camera good but sound need to improve
1,Amazing product in reasonable price range.
0,"Not expected at all. Left speaker channel is false, only right speaker working. Camera is avarage. Double tap wakeup is not working properly. Earphone sound quality is not better ( using JBL). Not satisfied."
0,Poor camera
0,Not a good product...
1,The product is awesome
1,Great phone
0,Hang hota Hai phone
0,Great phone with excellent connectivity. Quick charging and excellent talk time due to the large battery. The twin camera requires steadier hands than mine. OTA update to Android 8.0. But the Bluetooth connection on this phone is intermittent and unstable.Supplementary information: The claimed gorilla glass 3 screen is probably ordinary glass as it cracked as the phone slipped from my grasp while sitting on a sofa. Lenovo says the screen is not covered. Reducing rating to two stars.
1,"Fast delivery. Delivery is to be provided for all districts. Good phone. Feels a bit heavy. Notification sounds can't be adjusted, is a bit annoying. Photos takes a lot more memory but not as much clarity for that memory. Other features are good."
0,I want return it
0,Me Bodru using Lenovo K8 note from 29th August.This mobile's performance so good.But it's battery does note perform as another 4000mhz battery mobile.So plz check it and try to solve it.
0,Very poor batteryBattery drain within 8 hrsIt's doesn't show the 4000 mAh performance
1,It is good 😎😎 smooth !!
0,"Not Too Good , Configuration is High But Auto Deduced when Calling or Listing Due to Auto touch to screen So Huge problem is"
0,"Purchased on 22 nd Jan 2018. Average phone at this price segment.Though the cameras are supposed to be high performance but not satisfied.Battery charged quickly and lasts for a full day only.Lookswise ok, Lenovo again a name you can trust upon.But don't buy with too much expectations, simply an average smart phone and off course good for rough use."
1,"Not expected about the k8 performance is that much,I'm really happy about the product in all specifications,and the thanks to Amazon for given me good and non damaged product in time."
1,"The best phone in terms of specifications, audio sound, battery, screen,camera, ram, rom alongwith corning gorilla glass. All the best things in a mobile without burning ur pocket."
1,Lacks some apps like pc connection etc.
1,Good phone after update
0,It's good
0,Not a good phone.. In only 2.5 month it started hanging with more than 25 GB available memory in the phone. Camera is not also good. Now Lenovo have to seriously think about the performance of their mid range phones.
0,Ye Amazon wale both b.c hai .. PHN kharida Lenovo k8 note Usme game ka hanging issue hai.. b.c replace k ly Bolte hai par behanchod Layla dete hai... Bhosdi ke pese Jane ke bad service bhi nai dete Inka technician bhosdi ka game khelke Kenya hai koi problem nai hai .. in behanchod me copy phone bhej diya much mat kaharidna.. Amazon se .. bhot bhosdi wale hai...
0,Volte Calls & SMS not coming in when the phone is in standby mode..
1,All things are good about this phone.Smoothly running and no problem till now
1,This phone is goodBut camera is not so good as 13mp...Over all it's good phone heating problem during charging
0,Worst depth effect honestly if you want to buy a phone with depth effect then go for Mi A1 but this is not for youIf you are a selfie holic then I recommend you to buy this phone bcz the selfie here is literally good as compare to other phones in this price range this phone is on top in terms of selfieIn terms of processor I'll say that Snapdragon 625 is much better then this bcz this phone will not save your battery as Redmi phones does and this processor is built on 20 nm technology and Snapdragon 625 is on 14 nm that's 625 is battery efficient but Lenovo is providing you fast charger which is about 15w so don't worry you can get your day battery in just 1 hr. If you plug your phone on 20% then it will get charge 70 to 80% in just 1 hr. Which can last upto 8 hrs.on minimal usage so if you really want to buy this one i'll recommend you to buy this but keep in mind some cons of this phone when you're buying it.
1,"Its an excellent phone.......but sometimes heating problem may occur.Overall phone is very good in every condition.Camera quality, processor, turbo charging and many more fabulous features."
1,Good mobile nice parfomce
1,Really Good product 👌👌👌
1,Good
1,One of the Best Mobiles in recent days
0,No record facilities.No adequate instructions to use
0,It's can't compete with redme note 4
1,Excellent product
0,"Hello guys, I am Rasidul kaji. When announced the killar phone Lenovo k8 note . I saw the feature & decide to buy . Bu aftwr 7th days using lenovo disappointed to me . Because the is much more heating when playing simple game ex- Temple run 2 . I hate this type of heating problem . In my opinion guys do not buy this product. West your money . I return this product"
0,"Not a good phone , battery life is very poor and this phone has hang issue ."
1,Nice phone
0,Automatic call recorder not availableBattery backup not goodBelow key light not availableHeating problem
1,Good mobile.....Good performance....Thanx to Amazon....
0,Phone is just ok...don't expect much...
0,"Wrost mobile...Heating too quickly, Battery charge takes a lot of tym in turbo chrger, not good selfie camera so plzz don't buy this mobile"
0,Good handset but accessories are bad quality.charger damaged in 2 month.
0,"Battery drains too fast , even when kept idle .Please do not buy until Lenovo do something about this.They know this issue and are cheating customers."
1,Super
1,nice one....
1,Love it.
0,"As per the description it is updated with new software, unfortunately its the same older one no update already made."
0,Don't buy this product ekdum bakwas
1,Excellent performance.
0,Battery back up is frustrating. Getting discharged very fast. camera is also not as claimed. Made mistake in buying this phone.
0,Battery backup is very poor
1,Very nice phone ...1st time charging may led to heating..Battery was good...Side buttons was very loose this is a problem..Deapth sensing mode is so..So...Finger print senser was very fast...Front camera was good and back also..Screen is very good covered with gorilla glass 3..Phone is very fast....It require 1st update when you start it...Overall for my opinion phone was good...😎😎
1,Works well with long lasting battery and with less heating even with double sim and mobile data.
1,Nice camera clarity with good battery backup. Screen quality is really nice. Useful product. Highly recommend to all age group...
1,Thank u Amazon for delivering in 3 days phone is nice at this price battery is performing good not satisfied in depth camera mode and every thing is fantastic in this phone i used me this after 6 days of use this phone is performing well
1,Good Product.It is Fast fast Operating system.It doesn't get hang.Good StoragesAt a time internet and calling is good because of a LTE Network over 4G.Overall it is A Best Product.....I love it.....
0,Normal smartphone with bit of bugs... With for the cost...
0,Very very poor product
0,Worst phone..several issues no proper response from Lenovo customer care..why should we roam around service center after giving our 14k to this idiots.. seriously don't buy..full of crap and traps
1,lovely
1,Phone is very good. But I ordered a venom black variant & received gold variant.Its so pathetic. I am going to return the phone.
1,Very good
1,Very good.
0,Battery performance and charging time is really bad and worst
1,"Good phone, smoothly work touchscreen"
1,Great features under 15k rs. I'm totally satisfied with it
1,Amazing performance
1,Worth the money...amazing service by amazon.
1,Worthy purchase....using from approx last 4 months..handy & smooth touch..
1,Perfect Product...100% happy...Thanks.
0,"Product is worst , even Amazon and lenovo is not supporting properly if there is an issue"
0,"one of the worst phone I purchased. Phone has some serious OS issues, but technician could not able to crack it. Amazon is not ready to refund the amount. They are cheating. PLEASE DO NOT BUY. Don't go for Amazon too."
0,Very bad .I got defected piece . Headphone jack and hotspot not working.
0,Poor battery and a lot of heating even for normal usage. I'll prefer Moto G5 compare to this.
0,When I dubble tap on image that can't zoom. Why ?
0,In this phone don't have Gallery opetion or menu fix this problem as soon as
0,"After using for a month found 2 issues which annoying for me : 1) Call Recorder only records one side voice because of Stock Android, 2) Network Reception is poor compared other devices, not getting proper network for any of the network service provider, flactuating and sometimes goes down to zero,I have raised the complaint for any possible solution on Lenovo Forum, but haven't got anything yet and don't think got anything in future also"
0,Very poor sound quality.
0,Asome phone
0,The worst products i have ever buy.
0,"Too much heating , battery drains up very very quickly, issues with mic , most of the time calls inaudible, please don't buy it."
1,Express delivery
1,Very nice Lenovo k8 note. No problem when connecting to PC/Laptop. Battery backup is very good. Both cameras are very good quality.
0,Good
1,Nice phone with great features at this price. But only problem is my phone gets off anytime without any reason. Complained to Amazon for exchange. Waiting for Amazon's response.
1,Very gud phone excellent resolution and camera is supurb but i'm having some battery and heating issues..
1,Need a invoice
1,good mobile a reasonable price
1,better choice.... awesome camera & also performance...
0,"worse product from lenovo upto now . no proper singal , network issue is big problem . poor singnal quality on all operators. which effect calls , internet speed all ."
1,Nice mobile
1,So good
0,"most disgusting phone ever. Heating issues, bad camera, low battery level. Battery heats so much that I am afraid that it may burst. I am planing to throw this mobile. Its a threat to life.Bad service by amazon also. Earlier those people said phone would be return according to return policy. But they gave wrong information. They are asking me to go to lenovo customer care and get it verified even if it is faulty even being in returnable period. This is really disappointing. I strongly recommend people not to buy this garbage from this site."
0,"This Lenovo K8 was fine for two days subsequently it takes more than 8 hrs to charge inspite of rapid charger - I have been to thier auth service center in vain as they are not aware of the product & solution - I had given K5 for service under warranty it's still lying with them for more than 17 days, this became defective for using Google navigation got over heated & switch off - This makes me rethink about Lenovo products through Amazon Sale"
1,Good
1,The phone is Awesome! A Must buy product! Value for money product! Ignore some small drawbacks ....
1,Nice
0,In coming sounds are not working
1,Apple se best
0,Features not up to the mark
0,"Never boots up, since last night it showing Lenovo logo powered by Android,. Sad product,It is really bad experience"
1,Nice smart phoen
1,Firstly I ordered it but got a defective peice and it was like a hell to meAgain by replacing it I got a good peiceAnd now it meant all my requirementsGood speedGood cameraGreat speed no hangingLoved it
0,My invoice bill is not given.I m in a fix
0,Bhangar phone
0,I bought it before some day and it is nice phone with some demerits which u must to know that according to my views and uses it's screen is not actually gorilla glass.it is easily brokenable and phone thickness is much more than usual phones.
0,Product is ok it's my second mobile in one month but heating problem is main issue to much heat when charging and net using....Raj Mishra7383506358
0,Not bad
1,Awesome budget phone competeting with MI NOTE series...
0,"Sound is good,turbo charging is just a marketing gimmickCamera is just average..Samsung camera quality in the same price range is much better"
0,Only one speaker given & Sound quality bad
1,Good phone at this priceBut still work on turbo charging it takes nearly 4hrs to 5hrs to get fully charged
1,Nice worth money..
1,Super
0,"There is no Super cast feature, my OLD mob Lenovo K3 note is itself as this feature. Without casting i dont like this, unable to connect to Smart TV"
0,No...it is getting draining battery very fastly....and some apps are crashed...I does not like this product..try to improve battery performance am requesting Lenovo
0,Worst phone EVEROr the worst Android version everBattery drains in 2 hrs from 100-10Never buy this phone or any phone having Android 7.1
0,"I am a movie lover. Wanted to watch them on my big TV screen by casting them from my new K8 note. I have an android TV box - not chrome castThere is a option in phone to cast under display,but disappointingly the phone could not find the TV.To me this a major draw back. It may not be a serious issue for those who do not use mirroring.Worst thing was when I wanted a solution from Lenovo team through live chat, the person who was chatting, one Mr Saleem says K8 can cast only through chrome cast.further when I was typing my next question, he abruptly disconnected.There are also lot many posts by several users complaining about the casting issue on K8 note."
1,Nice phone. Best specifications.
1,It's very nice product and I use the phone and I very happy
1,Satisfied with the product
1,Very good phone in this range......
0,"Not good as Samsung quality products, earphone should be given with the phone."
1,"Phone is good, doesn't lag but battery backup is not up to a expectation level...overall a nice phone , got 2000 off during diwali plus additional cash back by paying through debit card"
0,Nice phone for the price. Casting not working even after sw update.Camera is avg and slow. No headphones in the box.
1,"Awesome mobail ,but battery is too poor"
1,Good
0,The phone's wonderful but the box which reached me did not contain any earphone.worst delivery
0,The delivery was fast but they didn't given invoice this is bad the mobile is good battery backup is moderate and volume in headphones is a bit low
0,"Flash light not working , default write disk not available , good build"
0,Good phone but rear camera is not so good and Dolby Atmos is not working. Actually bug in Lenovo OS
1,Best phone of 2017
0,Mobile is good. But the charger is not the TURBO charger
1,"Very nice phone,no problem yet.."
1,Nice phone looking smart.
1,Excellent
1,Affordable
1,Very good
1,Looking stylist but sometimes network problem found.
1,"A good product by lenovo and delivery was great by amazon. Dual camera may be much better, but its depth enabled mode needs more improvement. Overall the performance of phone is good."
1,Pros are more here than cons ..
0,Very bad network connection every day network problem....
0,Draining battery fast.... Heating when the phone is plugged into charge in off mode... network issues in calling using JIO... Processor performance is also not good..
1,I bought this phone for my friendHe is pretty happy with the phoneAll the specs meet his daily basic requirementsButA highly skinned os makes it little fullOtherwise a great tech
0,Battery is poor. Again disappointed with lenevo. Can't work whole day with so called 4000mah. Lenevo should work on this and camera part also which is poor
0,Empty box.Product missing
1,Excellent!!
1,Nice phone
0,It doesn't connect to my Samsung level U Bluetooth headset. Even it just don't finds while searching.
1,Great product...No defects...Worth the price...The delivery guy even opened the void seal in front of me...
0,"I always trusted Amazon..But this time they gave me defected piece. My phone gets heated Everytime and the battery goes down very quickly. M so pissed of by this, it has been only two days and I am experiencing this"
1,"Nice phone,fast, good battery backup and good camera clearity"
1,nice phone very nice features i love to use this phone
1,Very nice
0,Not upto mark especially camera
0,Sound quality is not good and also no Gallery to store images.. Need to download for play store..Rest everything is perfect.
1,Good phone
1,over all good phone... A little bit of heating while charging which i think is normal as turbo charge.... else no heating problem... a nice looking device... camera quality is not as expected....battery backup is good.. after playing games and spend good online on airtel 4G network.. I charge the battery to 100% in morning time and at the end of the day I am ending up with 40-45% battery remaining..... a better product in this price range.
1,Nice
1,I found everything what expected except headphone.
1,The fone is overall good. But there are issues with network connections especially while using volte on jio.
0,Totally waste
0,It was good but in this heating is main disadvantage but everything is good
1,Amazing
0,"No contacts in phone everything to be stored to google, in bigger font size, the display ia going out of screen, the signal indicator ia never full....Not a great phone compared to its predecessors"
0,I had purchased on 08/10/2017 after using more than 15 days found that device fault of software Mobile getting hang and restart automatically .same issue consulting with Lenovo customer care as per there technical solutions till problem not solved.after that I was visited Lenovo care mapusa Goa as per there technical expertise need of software upgrade after software updated till issue not resolved. After this there technical expertise person said need of change of mother board .I have questions about Lenovo product that mobile not having any physical and water dimage then how could possible mother board probleam and in Goa there is no any Lenovo care centre in Margao and Panjim it's near about 50 km from Margao. So Weast of my valuable time which is more cost than my money and also weast of my money . please do not go for this product. Bad service faulty products.
1,This phone is very good...I like this phone
0,"Got the phone delivered on time . That is the only good thing in this entire experience of mine . (Updated now) a new update , the first update didn't provide any noticeable difference but this one's log looks promising, let's see..I have been using various models of mobiles , have never seen such a terrible device , . Bought this after much thoughts by trusting the name Lenevo .I have been using redmi note 4 & it never had any issues with battery or even camera . Listening to music through YouTube , Browsing, Facebook , Insta , still solid backup for more than a dayI have 4 other phones also , MOTO G3 & Samsung S3 , HTC 628G , Samsung J7 Prime .This phone(Lenevo K8) seems to be worst among all.1)Battery : Has left me shattered with its worst battery life , Have just used to take some pictures , YouTube & songs , it goes down very Fast . (Yet to enter two sim card & use WhatsApp , Gmail , so if it continues to become more worst I'd surely update & escalate this )2),Camera Quality(For a dual camera , it is nowhere near Honor 6x which is 1k lesser) .if you are tricked by the dual camera ( it still has not got update of slowmo , Time lapse ) but it is really good when taken in Professional Mode with manual iso & focussing.A disaster in auto mode , that too for a rear camera with dual lens .I wish the company wakes up and starts rolling out OTA update for Camera & Battery life improvement.Other than that , The phone is super smooth , Display , Touch , Finger print sensor & stock Android is a bit of self satisfaction that I can say to myself for wasting 14K .I thought of gifting it to my father , but this would make it surely an incomplete gift .!Wish the company looks into these issues & provides updates for the Camera & Battery life because that is what it was paid for & marketed by the company claiming those 2 are the highlight factors.Lost interest to Even post pictures of it.With much regret."
1,"It was launched as the next big thing in budget smartphones and claimed to have the best camera in that range.Phone is OK.Decent battery life, not the best but still a decent camera.After 4-5 months of use I found it starts to hang a bit but I guess that’s normal with low budget android devices."
0,Not very great phone. It says it has turbo charge but it takes four hour to reach 100%. Not worth buying
0,Very bad mobile don't buy it...
0,"4000mah battery, but doesn't work as......low battery backupOverall 4* but for battery 2*"
0,Ok
0,Lenovo k8 note Heating over Some times Yes or no ?
0,Don't buy this product from amazon. When i bought the product it was scratched. Keep these thing: it is a radiation phone. I can use this phone of 10min and feels headache. I contacted the amazon many times. They will not help you. Don't buy this phone spending this much money. Service from amazon is also very poor.
1,"Very good battery backup, nice camera. Doulby system sound very nice. Budget phone very good."
1,"Nice Experience. Battery backup, both camera are very good. Speed is also nice and its charging is very fast."
1,"Awesome battery backup ,awesome camera,great audio and video experienceTotally a killer note till date"
1,Great phone.... Buy only if you can compromise with the cameras.... Cos they are not good at all
1,Good
0,Camera not good and dual SIM has issues randomly if jio used.calls not receiving at times even though full signal
0,Bettry is very very poor..And phone is getting hot
0,"Sir ,iam Akash adagond ,all is well but it has curved on screen display so when I attach a tampered glass the air gap present surround the screen ,plz tell where I purchased a tampered glass sufficient to this mobile ,or send me that ,I will pay the bill pls pls pls pls pls"
0,One month back I am purcsaesd Lenovo K8 mobile.now I am facing charging problem...... Now it takes almost 4 hour to full charge...
0,"I am not satisfied with this phone..though it has lots of good features..I have faced several times hanging issue, I have lodged complain to Amazon..but ...nothing happened.."
0,"It worked fine for first 7 days. Afterwords touch is not working properly. Some times touch doesn't respond, after few mins screen keep flickering multiple times, without even touching it. Had horrible experience with this phone. I want to return this product."
1,Very nice product
1,Very good
0,"Lots of issues, os is truble. Do not buy this item, returning policy is not working, do,t buy on Amazon"
0,Bad decision of buying this phone... Firstly it was not up to the mark....As it's specifications are mentioned....the 1st mobile was replaced within 7 working days....After that they replaced it with a new one....The new phone worked properly (though not 100%) for the next 5 months...Then suddenly got dead...And now I can't even switch it on....Poor quality phone from lenovo....No other option but to wait at the service center to get it repaired👎👎.
0,Camera and it's performance is nice but battery backup is very poor
0,Not fast chargingCharging time 8 hrs
0,I request you all please don't buy this product.Phone is heated up always.Turbo charger performance is poor.Phone performance also bad.
1,Awesome phone with cool performance.Money's worth mobile phone.ProsPicture qualityDolby AtmosBatteryProcessorMusic keyStock AndroidFast chargeCons:Dual cameraNo custom UIHeating issue while in charge
0,"My goodness..nvr thought abt it, mobile auto restart issue from the very next week, battery draining fast, application crash, charging issue, voice issue..from the 10th day of purchase i m facing all these issues.."
1,Very nice look mobile
0,Kuch khas nahi
0,"Very bad interface, screen does not turnoff when receiving a call, app start and stop working at their own will. Very poor network reception, VOLTE feature turns off automatically need to restart or go offline & online for the feature to come back. camera is only think that is okay about the phone"
1,Good I using it till 5 months its superb.....
0,I want invoice
0,Lenovo could not assure you of separating themselves from their relationship with heating issues.. A phone though is spectaluar at the price but lags in bokeh effect.
0,Nice one... Bt battery is not so good.
1,It's a awesome phone in lowest price..
0,Body is very heatingBattery usage is suddenly decrease
0,"After using few weeks I can say this phone has met all my expectations and I am completely satisfied with it, specially with camera and it’s effects, battery is up to the mark, Dolby speakers works really good ,no issues with memory, supports 4G on both SIM cards, wifi connectivity is also good...However there is some issue related to cell phone networks, specially during roaming areas, I could say there is small lack in the network chipset due to which sometimes it puts you in a situation where it’s doesnt shows you any kind of signal whereas other phones could get the network very easily.Overall performance is really good and satisfactory.Apart from this I haven’t received my jet previledge bonus points which I supposed to get for this order.Thanks"
0,From the begining it's google not responding.sometime it gives the feelings that i bought a second hand mobile.
1,Gud buy for people looking for budget oriented smartphone.Happy tht lenovo has improved its camera.
0,I am very irritating with this phon. I bought this phone in Amazon on 8th sep. My phone having software issue. When I am install new app in my phone it was installed but I can not see on my phone. If am rebooting phone then app will be show on screen and then I can use it. This I am facing issue. Try to solve this problem or suggest me what can I do now. Am also contacted with customer service center also they can reinstall os but problem not solved.
0,Worst phone I have ever taken Lenovo is fck product ...killer note total killer...
1,Value for money.Got before time delivery.Excelent performance..
1,Bestest smartphone
0,Not up to mark.Processor is very slow and the operating system is also not user friendly
0,Don't buy Lenovo phones....it's the worst bet for your money. Have had enough bad experiences with the K3note
